Var1,Var2,Player,Position,Team
-1.2541274922459418,-0.3189150348147399,Emily Clark,F,Olympic (Women) - Canada
-0.34775149576261055,0.6422123067139303,Sarah Nurse,F,Olympic (Women) - Canada
-0.9606650822459002,0.9677596023171051,Lyudmila Belyakova,F,Olympic (Women) - Olympic Athletes from Russia
0.08765709320696455,0.6017683271410995,Olga Sosina,F,Olympic (Women) - Olympic Athletes from Russia
3.461872088396796,5.961406929495408,Valeria Pavlova,F,Olympic (Women) - Olympic Athletes from Russia
-1.4873069846805338,-0.004575705295016025,Laura Stacey,F,Olympic (Women) - Canada
3.4707687106757876,-2.3138555137146537,Marie-Philip Poulin,F,Olympic (Women) - Canada
0.7275542552266506,-0.7201864057394937,Melodie Daoust,F,Olympic (Women) - Canada
0.9805256340016589,-0.4146728041689703,Yelena Dergachyova,F,Olympic (Women) - Olympic Athletes from Russia
-0.005609994026091081,-0.03368928716127345,Anna Shokhina,F,Olympic (Women) - Olympic Athletes from Russia
0.9232862211525203,0.8000417084239473,Meghan Agosta,F,Olympic (Women) - Canada
-1.7598394442025165,-0.2299339137051683,Haley Irwin,F,Olympic (Women) - Canada
4.592111027760145,0.6228760839972268,Rebecca Johnston,F,Olympic (Women) - Canada
1.591094718789742,0.2772448118648974,Brianne Jenner,F,Olympic (Women) - Canada
-1.4793035246576742,-0.327055847402232,Yevgenia Dyupina,F,Olympic (Women) - Olympic Athletes from Russia
-1.4685570874854015,-0.14655904050965038,Yekaterina Smolina,F,Olympic (Women) - Olympic Athletes from Russia
-0.2589042552249232,0.6869341292069219,Natalie Spooner,F,Olympic (Women) - Canada
-1.3089925866372554,0.16981692944238283,Fanuza Kadirova,F,Olympic (Women) - Olympic Athletes from Russia
-2.2907154275386787,-0.08680955990366906,Bailey Bram,F,Olympic (Women) - Canada
-1.4057624753963702,-0.25623922398094484,Jillian Saulnier,F,Olympic (Women) - Canada
-1.5727397822352116,0.3223624706945634,Jennifer Wakefield,F,Olympic (Women) - Canada
-0.9124013162093519,-0.21268385141243099,Alevtina Shtaryova,F,Olympic (Women) - Olympic Athletes from Russia
-0.8580692817144965,-0.2711287586035673,Blayre Turnbull,F,Olympic (Women) - Canada
-2.1887692368926652,-0.059166009125853014,Alyona Starovoitova,F,Olympic (Women) - Olympic Athletes from Russia
-2.050062789641528,-0.017743350826440296,Diana Kanayeva,F,Olympic (Women) - Olympic Athletes from Russia
-1.3464864408482622,-0.07273133934555973,Venla Hovi,F,Olympic (Women) - Finland
-1.311781949529449,-0.26251778482508814,Linda Valimaki,F,Olympic (Women) - Finland
-2.076330577165256,-0.047204723607472465,Annina Rajahuhta,F,Olympic (Women) - Finland
-2.2634204975617402,-0.08228966421476375,Sanni Hakala,F,Olympic (Women) - Finland
-1.9756075642516207,-0.12916353399919211,Emma Nuutinen,F,Olympic (Women) - Finland
-0.5564927801977334,-0.997934401605518,Noora Tulus,F,Olympic (Women) - Finland
-1.5217788676220922,0.01764074846792965,Tanja Niskanen,F,Olympic (Women) - Finland
5.378880599365419,-0.29469676461775074,Susanna Tapani,F,Olympic (Women) - Finland
0.3387149468068999,-0.9995841414550241,Riikka Sallinen,F,Olympic (Women) - Finland
4.392040351498497,-1.3684473734520524,Michelle Karvinen,F,Olympic (Women) - Finland
0.3320565796879292,0.8402138369112543,Petra Nieminen,F,Olympic (Women) - Finland
-2.1029123848588687,-0.005972832545327822,Sara Sakkinen,F,Olympic (Women) - Finland
-2.2747245993772327,-0.1053492317956784,Saila Saari,F,Olympic (Women) - Finland
0.5701091717757027,-0.38926245222958566,Dani Cameranesi,F,Olympic (Women) - United States
3.682934875581154,-1.7017728158187502,Brianna Decker,F,Olympic (Women) - United States
3.2658396310755373,0.8889495327456816,Kendall Coyne Schofield,F,Olympic (Women) - United States
-0.0667819067151354,-0.7930492236157438,Hannah Brandt,F,Olympic (Women) - United States
0.18688960024265172,-0.4665412221265905,Kelly Pannek,F,Olympic (Women) - United States
-1.4071219431549884,-0.2964298252027673,Monique Lamoureux,F,Olympic (Women) - United States
-2.0178787210447098,-0.019386674405637516,Meghan Duggan,F,Olympic (Women) - United States
-2.125987597310254,-0.021853797266719766,Amanda Pelkey,F,Olympic (Women) - United States
-1.8591446067510469,0.10104351844053552,Gigi Marvin,F,Olympic (Women) - United States
2.8432549410471455,0.2966130110266363,Hilary Knight,F,Olympic (Women) - United States
