Var1,Var2,Player,Position,Team,labels
-0.6287024945067143,-0.3017996480361268,Meaghan Mikkelson,D,Olympic (Women) - Canada,2
1.3913117725164963,1.7817108326881168,Maria Batalova,D,Olympic (Women) - Olympic Athletes from Russia,0
0.04900057487049662,0.6921533875306343,Renata Fast,D,Olympic (Women) - Canada,0
0.09694168672433859,-0.0010483764197341755,Yekaterina Nikolayeva,D,Olympic (Women) - Olympic Athletes from Russia,2
0.1844477544744439,-1.8930694531204169,Brigette Lacquette,D,Olympic (Women) - Canada,1
-0.3447189037522024,0.46415587428943383,Angelina Goncharenko,D,Olympic (Women) - Olympic Athletes from Russia,0
0.07513999744913101,-0.156006625169172,Liana Ganeyeva,D,Olympic (Women) - Olympic Athletes from Russia,2
1.01999288326991,-2.8708622772553762,Laura Fortino,D,Olympic (Women) - Canada,1
0.11721862441091785,-0.2975284747170789,Jocelyne Larocque,D,Olympic (Women) - Canada,2
-0.6155442666823039,-0.3149693252963986,Lauriane Rougeau,D,Olympic (Women) - Canada,2
-0.5954104473661037,-0.8112959521516278,Nina Pirogova,D,Olympic (Women) - Olympic Athletes from Russia,2
-0.7075664098401628,-0.6941665423916397,Yekaterina Lovova,D,Olympic (Women) - Olympic Athletes from Russia,2
-1.164706758181418,-0.218664834180272,Svetlana Tkachyova,D,Olympic (Women) - Olympic Athletes from Russia,2
-0.5909381525256165,-0.0617138523954446,Isa Rahunen,D,Olympic (Women) - Finland,2
0.05007364486054365,-1.1381755317535143,Minnamari Tuominen,D,Olympic (Women) - Finland,2
0.9513920957284123,2.364825434904675,Ronja Savolainen,D,Olympic (Women) - Finland,0
-0.3025664797923175,0.22108492318043074,Rosa Lindstedt,D,Olympic (Women) - Finland,2
3.1655934049917427,0.7267341080084248,Jenni Hiirikoski,D,Olympic (Women) - Finland,1
-0.9660526841021436,0.048328892171033665,Mira Jalosuo,D,Olympic (Women) - Finland,2
-0.14515105501695308,-1.3353441907221006,Megan Keller,D,Olympic (Women) - United States,2
0.5402531523873683,-0.6428853861617188,Emily Pfalzer,D,Olympic (Women) - United States,1
-1.0794209653494147,-0.2228616981432851,Kali Flanagan,D,Olympic (Women) - United States,2
-0.37686724033637703,-0.9499083538122152,Sidney Morin,D,Olympic (Women) - United States,2
0.4475499115004311,-0.976535081807767,Lee Stecklein,D,Olympic (Women) - United States,1
-0.34158820464869466,-0.7171442917102623,Cayla Barnes,D,Olympic (Women) - United States,2
1.0066169518201664,-2.346377013020559,Kacey Bellamy,D,Olympic (Women) - United States,1
1.5881177848863004,0.07059140296041025,Ella Shelton,D,Clarkson Golden Knights,1
0.12970379901271714,1.1474246886108512,Skylar Podvey,D,St. Lawrence Saints,0
4.196072777200904,1.1047104147525562,Taylor Turnquist,D,Clarkson Golden Knights,1
-0.3064933453386255,-0.11826391216273627,Jacquie Diffley,D,St. Lawrence Saints,2
1.1656980470168257,-2.764114617030004,Josiane Pozzebon,D,Clarkson Golden Knights,1
0.1955959657023736,0.4740192535942765,Emma Keenan,D,Clarkson Golden Knights,0
0.3271031118333131,1.8937928453469832,Lydia Grauer,D,St. Lawrence Saints,0
0.40619382420858396,2.9274135533688663,Amanda Butterfield,D,St. Lawrence Saints,0
-0.7695221898323389,-0.5695942057923916,Avery Mitchell,D,Clarkson Golden Knights,2
-0.6229343183130024,0.3858847564375111,Claire Dudley,D,St. Lawrence Saints,2
-0.5415726409068007,0.7391844520341325,Kristen Guerriero,D,St. Lawrence Saints,0
-0.3060835869420255,0.8486570731477268,Megan Bozek,D,Olympic (Women) - United States,0
