Var1,Var2,Player,Position,Team
-1.2699711628569685,-0.10765956323424464,Meaghan Mikkelson,D,Olympic (Women) - Canada
2.810432350877994,0.6355812914465802,Maria Batalova,D,Olympic (Women) - Olympic Athletes from Russia
0.09898054738556455,0.24690860932922912,Renata Fast,D,Olympic (Women) - Canada
0.1958209927498694,-0.0003739823693902633,Yekaterina Nikolayeva,D,Olympic (Women) - Olympic Athletes from Russia
0.37258215337614564,-0.6753057262367571,Brigette Lacquette,D,Olympic (Women) - Canada
-0.6963278671264894,0.16557613311937203,Angelina Goncharenko,D,Olympic (Women) - Olympic Athletes from Russia
0.15178185353378357,-0.05565150667555145,Liana Ganeyeva,D,Olympic (Women) - Olympic Athletes from Russia
2.0603728462831556,-1.024109142890666,Laura Fortino,D,Olympic (Women) - Canada
0.23678015285819365,-0.10613592774620256,Jocelyne Larocque,D,Olympic (Women) - Canada
-1.243391707490858,-0.11235752001120913,Lauriane Rougeau,D,Olympic (Women) - Canada
-1.2027216446977895,-0.2894097737711721,Nina Pirogova,D,Olympic (Women) - Olympic Athletes from Russia
-1.4292752838658336,-0.24762675255593303,Yekaterina Lovova,D,Olympic (Women) - Olympic Athletes from Russia
-2.3526930607068364,-0.07800327368081827,Svetlana Tkachyova,D,Olympic (Women) - Olympic Athletes from Russia
-1.1936876651465091,-0.02201489112936572,Isa Rahunen,D,Olympic (Women) - Finland
0.10114813532261607,-0.4060159825561471,Minnamari Tuominen,D,Olympic (Women) - Finland
1.921800114843088,0.8435930098122362,Ronja Savolainen,D,Olympic (Women) - Finland
-0.6111804987904103,0.07886658060128843,Rosa Lindstedt,D,Olympic (Women) - Finland
6.394459021232304,0.2592444264423053,Jenni Hiirikoski,D,Olympic (Women) - Finland
-1.9514143196980622,0.017240137477249617,Mira Jalosuo,D,Olympic (Women) - Finland
-0.2932033127599227,-0.4763510271665992,Megan Keller,D,Olympic (Women) - United States
1.091304599821659,-0.22933346786264058,Emily Pfalzer,D,Olympic (Women) - United States
-2.1804168276007174,-0.07950040114319834,Kali Flanagan,D,Olympic (Women) - United States
-0.761267104289458,-0.33885632123646997,Sidney Morin,D,Olympic (Women) - United States
0.9040452145663715,-0.34835474817305473,Lee Stecklein,D,Olympic (Women) - United States
-0.6900038941571177,-0.2558234965609252,Cayla Barnes,D,Olympic (Women) - United States
2.0333536323211465,-0.8370119913937941,Kacey Bellamy,D,Olympic (Women) - United States
3.2079780303851617,0.02518173781932509,Ella Shelton,D,Clarkson Golden Knights
0.26200004914627817,0.4093153906039215,Skylar Podvey,D,St. Lawrence Saints
8.476014443803656,0.39407812940306863,Taylor Turnquist,D,Clarkson Golden Knights
-0.6191127180002937,-0.04218772689983119,Jacquie Diffley,D,St. Lawrence Saints
2.3546954517360272,-0.9860295541604451,Josiane Pozzebon,D,Clarkson Golden Knights
0.3951014003977713,0.16909464984025946,Emma Keenan,D,Clarkson Golden Knights
0.6607441881314963,0.6755637785296139,Lydia Grauer,D,St. Lawrence Saints
0.8205064363236514,1.0442824125625667,Amanda Butterfield,D,St. Lawrence Saints
-1.5544251833013512,-0.20318865119758112,Avery Mitchell,D,Clarkson Golden Knights
-1.2583195192062782,0.1376548468732549,Claire Dudley,D,St. Lawrence Saints
-1.093969950101071,0.26368577887146166,Kristen Guerriero,D,St. Lawrence Saints
