Var1,Var2,Player,Position,Team
-1.2713672996320287,-0.26889546259593766,Emily Clark,F,Olympic (Women) - Canada
-0.6575871265076686,0.5485364817406456,Sarah Nurse,F,Olympic (Women) - Canada
-0.9513010984658269,0.5845959295893363,Lyudmila Belyakova,F,Olympic (Women) - Olympic Athletes from Russia
1.0849800509380967,-0.163912737113386,Olga Sosina,F,Olympic (Women) - Olympic Athletes from Russia
1.2831300922403248,5.137223171265308,Valeria Pavlova,F,Olympic (Women) - Olympic Athletes from Russia
-1.7099016078401437,0.05929331022714061,Laura Stacey,F,Olympic (Women) - Canada
4.124425689316209,-1.482905729930599,Marie-Philip Poulin,F,Olympic (Women) - Canada
1.1828806490595618,-0.5651460196015479,Melodie Daoust,F,Olympic (Women) - Canada
1.3070282918912628,-0.531072166499386,Yelena Dergachyova,F,Olympic (Women) - Olympic Athletes from Russia
1.179240797249339,-0.8022498529644754,Anna Shokhina,F,Olympic (Women) - Olympic Athletes from Russia
0.4462813885740856,0.7583695922157107,Meghan Agosta,F,Olympic (Women) - Canada
-1.7376352073448307,-0.2066162333322343,Haley Irwin,F,Olympic (Women) - Canada
4.415351680490296,0.6951911845496085,Rebecca Johnston,F,Olympic (Women) - Canada
1.5371145831589907,0.2144330488759096,Brianne Jenner,F,Olympic (Women) - Canada
-1.8031960129527835,-0.15669626917461066,Yevgenia Dyupina,F,Olympic (Women) - Olympic Athletes from Russia
-1.5188393082208023,-0.16596289514211418,Yekaterina Smolina,F,Olympic (Women) - Olympic Athletes from Russia
-0.3940202950295246,0.42168315594468275,Natalie Spooner,F,Olympic (Women) - Canada
-1.3925311728575167,0.05160087101564719,Fanuza Kadirova,F,Olympic (Women) - Olympic Athletes from Russia
-2.359157289445039,-0.09101969060370284,Bailey Bram,F,Olympic (Women) - Canada
-1.3916239815020668,-0.2032890896908411,Jillian Saulnier,F,Olympic (Women) - Canada
-1.762442517358863,0.24756740934208593,Jennifer Wakefield,F,Olympic (Women) - Canada
