Player,Position,Team,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index,labels
Meaghan Mikkelson,D,Olympic (Women) - Canada,-0.6614269606927723,-0.39921081964651733,-0.5786550337326227,-0.4731271395851268,-0.3818162185995591,-0.4808389014750487,-0.7871300978801852,-0.6759014043601024,0
Maria Batalova,D,Olympic (Women) - Olympic Athletes from Russia,0.07043636008309936,4.581093843083959,1.1286943067169748,0.13926500874060804,-0.14482578041989996,-0.5036451399394433,0.3788643982726288,1.757927345777683,1
Renata Fast,D,Olympic (Women) - Canada,-0.4930355868112687,-0.2939245778868928,-0.03635873430363196,0.0358522360507072,-0.38524775435600594,-0.40101706684965727,0.2948167739080728,0.20298430827499522,0
Yekaterina Nikolayeva,D,Olympic (Women) - Olympic Athletes from Russia,-0.7459944834435992,-0.44875728635692874,0.11188559922107186,-0.6627848537003794,-0.14482578041989996,-0.5036451399394433,0.3788643982726288,0.09902679008346202,0
Brigette Lacquette,D,Olympic (Women) - Canada,1.079407805913195,0.4430791144304788,0.4269436094484616,-0.6144027837730198,0.438320827191403,-0.45803266301065065,-0.2693044952176588,-0.24095756019981085,0
Angelina Goncharenko,D,Olympic (Women) - Olympic Athletes from Russia,-0.643940628002762,-0.44875728635692874,-0.3981966566844637,-0.30631824817105197,-0.5533930064219347,-0.5036451399394433,-0.7417213215791096,-0.22486720635938268,0
Liana Ganeyeva,D,Olympic (Women) - Olympic Athletes from Russia,-0.7459944834435992,-0.44875728635692874,0.11188559922107186,-0.6627848537003794,-0.5533930064219347,-0.5036451399394433,1.6595337923889013,0.030492698082512534,0
Laura Fortino,D,Olympic (Women) - Canada,0.5297641313070195,1.0391850420401183,1.4094073376807774,-0.22734622435413387,0.21870253877876056,1.4234820103021166,0.20394009529511298,0.36087750870542895,1
Jocelyne Larocque,D,Olympic (Women) - Canada,-0.4094328272433391,-0.22579818616007688,0.1673251644098046,-0.16735245764420775,-0.4298577191898246,-0.45803266301065065,-0.12527353288768486,0.05358760293498892,0
Lauriane Rougeau,D,Olympic (Women) - Canada,-0.7503660666161018,-0.39921081964651733,-0.5622250158055602,-0.5234444923095811,-0.3818162185995591,-0.13874532450908855,-0.831711110029939,-0.6648677614301731,0
Nina Pirogova,D,Olympic (Women) - Olympic Athletes from Russia,-0.23572520623941273,0.11011506135872524,-0.48410524715276454,-0.30631824817105197,-0.5533930064219347,3.2467140742058733,0.3788643982726288,-0.772201119188885,0
Yekaterina Lovova,D,Olympic (Women) - Olympic Athletes from Russia,-0.7459944834435992,-0.3090391994280153,-0.6029007199097115,-0.6627848537003794,-0.5533930064219347,-0.5036451399394433,-0.10138662452097327,-0.8473069734365013,0
Svetlana Tkachyova,D,Olympic (Women) - Olympic Athletes from Russia,-0.7800124352572114,-0.44875728635692874,-1.1277485148019861,-0.6627848537003794,-0.5533930064219347,-0.5036451399394433,-0.9551662205984881,-1.1843444943726786,0
Isa Rahunen,D,Olympic (Women) - Finland,-0.7394657856207845,-0.44875728635692874,-0.5721355719622682,-0.5590246211049887,-0.5533930064219347,-0.5036451399394433,-0.6183008017379725,-0.5856711446770295,0
Minnamari Tuominen,D,Olympic (Women) - Finland,1.8149731414741126,0.29217196250852145,0.17572938970374252,0.27105723965814116,1.5418235371782425,-0.22236819887854567,-0.42881400362893207,-0.20995142777209772,1
Ronja Savolainen,D,Olympic (Women) - Finland,0.4465237162447034,-0.3302086065384567,0.6266752598894513,0.6082779955931623,-0.21815835944590675,2.0278473296086457,0.392295454843576,1.4622077518597432,1
