Player,Position_x,Team_x,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index,Var1,Var2,Position_y,Team_y,labels
Emily Clark,F,Olympic (Women) - Canada,0.0413589364844904,0.0376931775348661,0.3360357142857143,0.1103327495621716,0.0374953130858642,0.0043436293436293,0.077562326869806,0.3538257408226449,-0.5766606546086555,-0.377227058145814,F,Olympic (Women) - Canada,Dependent
Sarah Nurse,F,Olympic (Women) - Canada,0.2731166912850812,0.0517150395778364,0.4356,0.3868651488616462,0.1049868766404199,0.2283783783783783,0.0542936288088642,0.4026315789473684,-0.29826520073616014,0.7695288023644209,F,Olympic (Women) - Canada,Dependent
Lyudmila Belyakova,F,Olympic (Women) - Olympic Athletes from Russia,0.3050847457627119,0.0238095238095238,0.4011111111111111,0.1290322580645161,0.03125,0.4444444444444444,0.0775862068965517,0.2770935960591133,-0.4314865690898384,0.8201157453310424,F,Olympic (Women) - Olympic Athletes from Russia,Dependent
Olga Sosina,F,Olympic (Women) - Olympic Athletes from Russia,0.847457627118644,0.3809523809523809,1.21,0.1290322580645161,0.125,0.0,0.0775862068965517,0.5431034482758621,0.49212002431742663,-0.22994928593058725,F,Olympic (Women) - Olympic Athletes from Russia,Balanced
Valeria Pavlova,F,Olympic (Women) - Olympic Athletes from Russia,1.2203389830508475,0.0,0.4444444444444445,1.161290322580645,0.03125,2.25,0.0775862068965517,0.7697044334975369,0.5819959654094672,7.206888376718184,F,Olympic (Women) - Olympic Athletes from Russia,Shooter
Laura Stacey,F,Olympic (Women) - Canada,0.0998522895125554,0.0379947229551451,0.164025,0.1373029772329247,0.021259842519685,0.0408783783783783,0.0468144044321329,0.1842492260061919,-0.7755689333671526,0.08318117668769205,F,Olympic (Women) - Canada,Dependent
Marie-Philip Poulin,F,Olympic (Women) - Canada,0.280834564254062,0.7598944591029024,2.57403125,0.4238178633975482,0.2572178477690289,0.1689189189189189,0.3545706371191136,0.8816273219814241,1.8707371336152951,-2.0803332291622763,F,Olympic (Women) - Canada,Playmaker
Melodie Daoust,F,Olympic (Women) - Canada,0.1654357459379616,0.1993969091594421,1.4001428571428571,0.2251688766574931,0.1983502062242219,0.277992277992278,0.0478828650573803,0.5201791242812915,0.5365253059505493,-0.792829928549078,F,Olympic (Women) - Canada,Balanced
Yelena Dergachyova,F,Olympic (Women) - Olympic Athletes from Russia,0.0762711864406779,0.0952380952380952,1.1377777777777778,0.3951612903225806,0.28125,0.1111111111111111,0.1379310344827586,1.1083743842364533,0.59283559567105,-0.745028529294023,F,Olympic (Women) - Olympic Athletes from Russia,Balanced
Anna Shokhina,F,Olympic (Women) - Olympic Athletes from Russia,0.211864406779661,0.0,1.21,0.2016129032258064,0.28125,0.0,0.2155172413793103,0.9655172413793104,0.5348743595024464,-1.12545726510252,F,Olympic (Women) - Olympic Athletes from Russia,Balanced
Meghan Agosta,F,Olympic (Women) - Canada,0.4493353028064992,0.2791556728232189,0.72,0.6178633975481611,0.3826771653543307,0.1952702702702702,0.0797783933518005,0.5592105263157895,0.20242216214722314,1.0638986894645175,F,Olympic (Women) - Canada,Shooter
Haley Irwin,F,Olympic (Women) - Canada,0.0295420974889217,0.0258575197889182,0.23805,0.0087565674255691,0.04251968503937,0.0547297297297297,0.0088642659279778,0.1301083591331269,-0.788148205816315,-0.2898570065580026,F,Olympic (Women) - Canada,Dependent
Rebecca Johnston,F,Olympic (Women) - Canada,0.8757754800590842,0.4221635883905013,2.175625,0.8581436077057792,0.6047244094488189,0.595945945945946,0.0709141274238227,1.2399767801857584,2.0026939430767916,0.9752672018516777,F,Olympic (Women) - Canada,Shooter
Brianne Jenner,F,Olympic (Women) - Canada,0.4307237813884786,0.1649076517150395,1.199025,0.4035026269702277,0.379002624671916,0.3679054054054054,0.217174515235457,0.8823916408668732,0.6971970271608545,0.3008230314330303,F,Olympic (Women) - Canada,Balanced
Yevgenia Dyupina,F,Olympic (Women) - Olympic Athletes from Russia,0.0338983050847457,0.0,0.0711111111111111,0.032258064516129,0.0,0.0,0.0,0.3990147783251231,-0.8178849601669225,-0.21982547445207792,F,Olympic (Women) - Olympic Athletes from Russia,Dependent
Yekaterina Smolina,F,Olympic (Women) - Olympic Athletes from Russia,0.0338983050847457,0.0238095238095238,0.2177777777777777,0.1290322580645161,0.0,0.0,0.2155172413793103,0.3152709359605911,-0.6889078160005087,-0.23282540393735798,F,Olympic (Women) - Olympic Athletes from Russia,Dependent
Natalie Spooner,F,Olympic (Women) - Canada,0.2859675036927622,0.0319261213720316,0.4970249999999999,0.3390542907180385,0.3401574803149606,0.1787162162162162,0.1465373961218836,0.4854489164086687,-0.17871782711934175,0.5915692844013739,F,Olympic (Women) - Canada,Dependent
Fanuza Kadirova,F,Olympic (Women) - Olympic Athletes from Russia,0.0677966101694915,0.0,0.2222222222222222,0.2580645161290322,0.0625,0.0,0.0172413793103448,0.354679802955665,-0.6316175804862932,0.07238963641511537,F,Olympic (Women) - Olympic Athletes from Russia,Dependent
Bailey Bram,F,Olympic (Women) - Canada,0.0033234859675036,0.0006596306068601,0.00225,0.0,0.0,0.0033783783783783,0.0,0.0034829721362229,-1.070055197463319,-0.12768936220902863,F,Olympic (Women) - Canada,Dependent
Jillian Saulnier,F,Olympic (Women) - Canada,0.0478581979320531,0.1395778364116094,0.342225,0.1008756567425569,0.0671916010498687,0.0337837837837837,0.0623268698060941,0.1635061919504644,-0.6312061010019299,-0.2851894357639305,F,Olympic (Women) - Canada,Dependent
Jennifer Wakefield,F,Olympic (Women) - Canada,0.170162481536189,0.0258575197889182,0.1352,0.1264448336252189,0.063517060367454,0.0972972972972973,0.0138504155124653,0.1301083591331269,-0.7994001859765031,0.34730643878223066,F,Olympic (Women) - Canada,Dependent
Alevtina Shtaryova,F,Olympic (Women) - Olympic Athletes from Russia,0.0084745762711864,0.2142857142857142,0.5377777777777778,0.2903225806451612,0.03125,0.0277777777777777,0.1379310344827586,0.3152709359605911,-0.346387172165776,-0.33633283889446725,F,Olympic (Women) - Olympic Athletes from Russia,Dependent
Blayre Turnbull,F,Olympic (Women) - Canada,0.0590841949778434,0.0379947229551451,0.4356,0.226970227670753,0.0262467191601049,0.0273648648648648,0.0709141274238227,0.4185758513931888,-0.428656406303075,-0.24685656425352775,F,Olympic (Women) - Canada,Dependent
Alyona Starovoitova,F,Olympic (Women) - Olympic Athletes from Russia,0.0084745762711864,0.0,0.0544444444444444,0.032258064516129,0.0,0.0,0.0,0.0443349753694581,-0.99916309228243,-0.14480836705635108,F,Olympic (Women) - Olympic Athletes from Russia,Dependent
